country,ico_start,ico_end,price_usd,goal,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,link_white_paper,linkedin_link,github_link,website,rating,teamsize,ERC20
UK,28/04/2019,28/05/2019,,0,0.66,,12000000.0,n,Yes,0,,28/01/2019,28/02/2019,,https://www.telecoin.info/wp-content/uploads/2018/11/Telecoin_Whitepaper.pdf,https://www.linkedin.com/company/telecoin/,https://www.github.com/TeleCoinOfficial?tab=repositories,https://www.telecoin.info?utm_source=icobench,3.0,6.0,0.0
USA,01/07/2017,13/07/2017,0.47,1,,,,,false,0.0,,,,,https://www.tezos.com/static/papers/white_paper.pdf,https://www.linkedin.com/company/tezos/,https://www.github.com/tezos?tab=repositories,https://www.tezos.com/?utm_source=icobench,3.0,,FALSE
UK,26/03/2018,27/07/2018,0.1,1,0.65,,600000000.0,YES,True,0.0,,,,,https://wefundanydeal.io/wp-content/uploads/The-Deal-Coin-Whitepaper.pdf,https://www.linkedin.com/company/thedealcoin/,,http://thedealcoin.com/?utm_source=icobench,2.9,24.0,True
Slovenia,15/09/2018,15/10/2018,0.0203,0,0.9,,725000000.0,n,N,N,Yes,,,,http://www.thrill-platform.net/index_htm_files/Thrill%20whitepaper%20V1.1.pdf,https://www.linkedin.com/in/thrill-platform-203407167/,https://www.github.com/ThxPlatform?tab=repositories,http://www.thrill-platform.net/?utm_source=icobench,2.9,,true
Netherlands,21/09/2017,26/10/2017,0.24,1,0.7,,140000000.0,,N,No,,,,,https://docs.google.com/document/d/1deB6McO4pEH37CnVmfVmuXt190i_uEAekyexRPG3R4M/edit?usp=sharing,https://www.linkedin.com/company/tiesdb/,https://www.github.com/tiesnetwork?tab=repositories,https://ties.network/?utm_source=icobench,3.4,13.0,T
UK,04/06/2018,01/05/2019,1.0,1,0.91,,,,False,0,,04/06/2018,21/06/2018,0.45,https://togacoin.com/whitepaper.pdf,https://www.linkedin.com/company/togacoin-ltd/,,https://togacoin.com?utm_source=icobench,2.9,10.0,TRUE
UK,04/10/2017,24/12/2017,2.9266,1,,,,,False,No,,,,,https://www.tokendesk.io/docs/Whitepaper.pdf,https://www.linkedin.com/company/tokendesk/,,https://www.tokendesk.io/?utm_source=icobench,3.0,10.0,1.0
UK,01/05/2019,01/06/2019,,0,0.55,,550000000.0,yes,yes,0,yes,,,,https://tokensgate.com/tgc_whitepaper_v12_small.pdf,,,0,2.8,21.0,true
Singapore,15/05/2018,19/06/2018,0.0005,0,,,,n,True,no,,13/03/2018,17/04/2018,,https://ico.touchtrader.io//uploadFiles/TouchTrader-white-paper.pdf,,,https://ico.touchtrader.io?utm_source=icobench,2.7,7.0,true
Switzerland,07/12/2017,04/01/2018,1.63,1,0.55,,275000000.0,,0,N,,07/11/2017,25/11/2017,0.466276001,https://trade.io/whitepaper/EN.pdf,https://www.linkedin.com/company/trade-io/,,https://trade.io/?utm_source=icobench,3.8,36.0,True
Singapore,08/02/2018,07/03/2018,0.8884,1,425.0,,66000000.0,yes,True,no,,16/12/2017,04/02/2018,0.318777007,https://trakinvest.ai/files/ti-whitepaper.pdf,https://www.linkedin.com/company/trakinvest/,,https://trakinvest.ai/?utm_source=icobench,3.7,20.0,1.0
Nigeria,01/12/2018,15/01/2019,9.3e-06,1,0.43,,6450000000.0,n,0,0.0,,02/01/2019,11/01/2019,,https://ico.tranium.org/Tranium%20White%20Paper.pdf,https://www.linkedin.com/company/tranium/,https://www.github.com/traniumtoken?tab=repositories,https://www.tranium.org?utm_source=icobench,2.9,8.0,true
Netherlands,01/06/2018,01/07/2018,0.039,0,0.6,,600000000.0,Yes,True,N,,01/05/2018,01/06/2018,,https://trustiertoken.com/storage/trustier_whitepaper.pdf,https://www.linkedin.com/company/trustier/,,https://trustiertoken.com/?utm_source=icobench,2.9,2.0,true
Ukraine,29/03/2018,27/06/2018,0.1287,0,0.66,,165000000.0,Yes,yes,0.0,,08/03/2018,19/03/2018,,https://drive.google.com/file/d/17ATxQov3WMVpWButWGLOfIBoZTSbBg21/view,https://www.linkedin.com/company/unic-network/,https://www.github.com/unicads?tab=repositories,https://unicads.net?utm_source=icobench,3.5,6.0,T
Canada,16/05/2019,16/08/2019,0.7178,0,0.6,,60000000.0,No,1,no,,,,,https://www.utpland.com/UTPL_V1.6.pdf,,,https://www.utpland.com?utm_source=icobench,2.9,2.0,True
Slovenia,13/10/2017,29/10/2017,0.1,0,0.51,,,,No,0,,,,,https://www.valus.one/whitepaper.pdf,,,https://www.valus.one/?utm_source=icobench,3.0,3.0,True
